cat,a_cat,a_label,a_segment,a_next_segment,a_s_order,a_next_order,a_direction,a_azimuth,a_length,a_stright,a_sinusoid,a_elev_min,a_elev_max,a_s_drop,a_gradient,a_out_direction,a_out_azimuth,a_out_length,a_out_drop,a_out_gradient,a_tangent_dir,a_tangent_azimuth,a_next_direction,a_next_azimuth,a_area,a_lat,a_lon,b_cat,b_value,b_label,test,area
1,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2051,3,,,310418.630109
2,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,2051,3,,,10703.852636
3,33,,16,17,33,34,146.31,146.31,311.399,301.334,1.0334,1536.9,1534.9,2,0.00642263,161.565,161.565,294.77,0.800049,0.00271415,-57.2958,-57.2958,156.801,156.801,85985.542714,51.4233333333333,-116.179166666667,5317,1,,,64488.696431
4,17,,9,16,17,33,190.305,10.3048,19881.6,15396.2,1.29134,1789.1,1536.9,252.2,0.0126851,201.801,21.8014,496.821,5.59998,0.0112716,-57.2958,-57.2958,179.89,179.89,80250260.257628,51.5341666666667,-116.172083333333,5317,1,,,333158.934217
5,26,,18,17,26,34,82.5686,82.5686,1590.19,1361.99,1.16755,1666.6,1534.9,131.7,0.0828202,68.1986,68.1986,392.596,36.7001,0.0934804,-57.2958,-57.2958,156.801,156.801,30934782.211541,51.4033333333333,-116.2475,5554,10,,,59118.799921
6,33,,16,17,33,34,146.31,146.31,311.399,301.334,1.0334,1536.9,1534.9,2,0.00642263,161.565,161.565,294.77,0.800049,0.00271415,-57.2958,-57.2958,156.801,156.801,85985.542714,51.4233333333333,-116.179166666667,5554,10,,,16122.586227
7,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,1,3,,,9696903.418932
8,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,2,5,,,10676.894986
9,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,3,5,,,5338.593594
10,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,4,5,,,5338.593594
11,5,,1,4,5,13,107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875,5,5,,,5338.690993
