cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
"4",,"2","4","4","13",211.159,31.1593,5062.21,4259.6,1.18842,1959.4,1817.2,142.2,0.0280905,248.199,68.1986,886.052,39.7,0.0448054,-57.2958,-57.2958,135,135,51650805.69649,51.6766666666667,-116.307916666667
"3",,"3","8","3","15",166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16
"6",,"5","9","6","17",117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333
"5",,"1","4","5","13",107.546,107.546,11571.9,8799.93,1.315,1938.9,1817.2,121.7,0.0105168,180,5.00896e-06,747.953,6.69995,0.00895772,-57.2958,-57.2958,135,135,108757004.766851,51.6416666666667,-116.43875
"13",,"4","7","13","21",170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375
"18",,"6","7","18","21",103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333
"21",,"7","13","21","32",138.343,138.343,20314.7,16330.9,1.24395,1745,1554.1,190.9,0.00939712,119.745,119.745,611.132,15.1001,0.0247084,-57.2958,-57.2958,108.435,108.435,87080531.902099,51.515,-116.274166666667
"15",,"8","9","15","17",222.274,42.2737,1267.71,1172.2,1.08148,1801.1,1789.1,12,0.00946591,215.538,35.5377,772.934,5.90002,0.00763328,-57.2958,-57.2958,169.695,169.695,2475183.353656,51.5633333333333,-116.14875
"7",,"10","8","7","15",285.333,105.333,4766.19,3914.19,1.21767,1916,1801.1,114.9,0.0241073,257.471,77.4712,622.937,17.4,0.0279322,-57.2958,-57.2958,135,135,46836507.485756,51.5125,-116.097083333333
"17",,"9","16","17","33",190.305,10.3048,19881.6,15396.2,1.29134,1789.1,1536.9,252.2,0.0126851,201.801,21.8014,496.821,5.59998,0.0112716,-57.2958,-57.2958,179.89,179.89,80250260.257628,51.5341666666667,-116.172083333333
