cat,a_cat,a_value,a_label,a_segment,a_next_segment,a_s_order,a_next_order,a_direction,a_azimuth,a_length,a_stright,a_sinusoid,a_elev_min,a_elev_max,a_s_drop,a_gradient,a_out_direction,a_out_azimuth,a_out_length,a_out_drop,a_out_gradient,a_tangent_dir,a_tangent_azimuth,a_next_direction,a_next_azimuth,a_area,a_lat,a_lon,b_cat,b_value,b_label,area
1,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,4,4,Low Vegetation,5596.99575
2,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,3,4,Low Vegetation,67166.397211
3,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,2,2,Coniferous forest,27985.167078
4,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,5,6,Water,11194.556471
5,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,1,2,Coniferous forest,96427371.400995
6,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,6,4,Low Vegetation,5597.278235
7,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,9,6,Water,39181.889235
8,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,7,4,Low Vegetation,16791.834706
9,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,8,4,Low Vegetation,5597.278235
10,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,11,6,Water,5597.560709
11,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,12,2,Coniferous forest,5597.560709
