cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
1,,1,3,1,4,193.416,13.4162,32130,20448.4,1.57127,333,309,24,0.000746965,225,45,1440.16,1,0.000694366,-57.2958,-57.2958,183.814,3.81408,213083539.8,49.41625,-86.56083333
2,,2,3,2,4,164.055,164.055,1369.92,1320.01,1.03781,322,309,13,0.0094896,161.565,161.565,888.42,9,0.0101303,-57.2958,-57.2958,183.814,3.81408,47389373.25,49.29375,-86.64125
3,,3,9,4,7,145.51,145.51,37648,26636,1.41343,309,260,49,0.00130153,0,0,556.049,0,0,-57.2958,-57.2958,53.7462,53.7462,233082493.9,49.09958333,-86.40791667
4,,4,6,3,9,193.419,13.4187,21484.1,18479.7,1.16258,312,226,86,0.00400297,250.017,70.0169,969.941,0,0,-57.2958,-57.2958,164.055,164.055,184984161.2,49.18208333,-86.60833333
5,,5,8,6,10,247.068,67.0679,16522.1,11302,1.46187,267,224,43,0.00260258,257.905,77.9052,1203.16,0,0,-57.2958,-57.2958,197.103,17.1027,132850780.9,49.05791667,-86.5575
6,,6,8,9,10,170.538,170.538,4360.74,3915.67,1.11366,226,224,2,0.000458638,185.194,5.19443,1110.66,1,0.000900368,-57.2958,-57.2958,197.103,17.1027,163323542.7,49.07458333,-86.29416667
7,,7,9,5,7,132.089,132.089,4181.55,3209.92,1.30269,286,260,26,0.00621779,96.7098,96.7098,1236.26,4,0.00323556,-57.2958,-57.2958,53.7462,53.7462,28008033.28,49.05125,-86.46
8,,8,11,10,12,224.465,44.4645,16294.5,11916.4,1.3674,224,204,20,0.00122741,141.34,141.34,579.354,1,0.00172606,-57.2958,-57.2958,255.069,75.0686,89649973.76,48.90208333,-86.4475
9,,9,6,7,9,62.9784,62.9784,9983.53,7711.98,1.29455,260,226,34,0.00340561,101.31,101.31,354.551,0,0,-57.2958,-57.2958,164.055,164.055,7453985.69,49.03458333,-86.41625
10,,10,11,8,12,248.459,68.459,4547.67,2704.76,1.68136,234,204,30,0.00659679,180,5.01E-06,758.568,1,0.00131827,-57.2958,-57.2958,255.069,75.0686,51678295.74,48.98375,-86.47458333
11,,11,13,12,13,231.911,51.9112,9362.13,7023.59,1.33296,204,200,4,0.000427253,236.31,56.3099,566.305,0,0,-57.2958,-57.2958,234.462,54.4623,70503592.32,48.95125,-86.57958333
12,,12,13,11,13,144.834,144.834,5422.04,4496.09,1.20595,222,200,22,0.00405752,141.34,141.34,536.727,5,0.00931573,-57.2958,-57.2958,234.462,54.4623,48789175.58,48.89041667,-86.52333333
13,,13,-1,13,-1,234.462,54.4623,4870.19,4415.47,1.10298,200,,,,235.784,55.7843,4838.65,1,0.000206669,-57.2958,-57.2958,-57.2958,-57.2958,17916399.92,48.85958333,-86.58458333
